[5b691437]   size: 5175638
[5b691437]   split: train
[5b691437]   timestamp: 1693685678.7132297
[5b691437]   type: negative_sampling
[5b691437] Finished epoch 21.
[5b691437] Saving checkpoint to kge/local/experiments/20230810-154246-relational_tucker3_selfloops/00058/checkpoint_00021.pt...
[5b691437] Removing old checkpoint kge/local/experiments/20230810-154246-relational_tucker3_selfloops/00058/checkpoint_00005.pt...
[5b691437] Starting epoch 22...

[5b691437]   batch   132/40434, avg_loss 3.5721E+02, penalty 1.3649E+02, cost 4.9370E+02, time   0.07s[K
[5b691437]   batch   133/40434, avg_loss 2.9439E+02, penalty 1.3649E+02, cost 4.3088E+02, time   0.07s[K
[5b691437]   batch   134/40434, avg_loss 3.0854E+02, penalty 1.3649E+02, cost 4.4503E+02, time   0.07s[K
[5b691437]   batch   135/40434, avg_loss 4.5064E+02, penalty 1.3649E+02, cost 5.8713E+02, time   0.07s[K
[5b691437]   batch   136/40434, avg_loss 2.9439E+02, penalty 1.3649E+02, cost 4.3087E+02, time   0.07s[K
[5b691437]   batch   137/40434, avg_loss 4.0452E+02, penalty 1.3649E+02, cost 5.4100E+02, time   0.07s[K
[5b691437]   batch   138/40434, avg_loss 2.6874E+02, penalty 1.3649E+02, cost 4.0523E+02, time   0.07s[K
[5b691437]   batch   139/40434, avg_loss 2.4790E+02, penalty 1.3649E+02, cost 3.8438E+02, time   0.07s[K
[5b691437]   batch   140/40434, avg_loss 3.1189E+02, penalty 1.3649E+02, cost 4.4837E+02, time   0.07s[K
[5b691437]   batch   141/40434, avg_loss 4.5585E+02, penalty 1.3649E+02, cost 5.9233E+02, time   0.07s[K
[5b691437]   batch   142/40434, avg_loss 1.8168E+02, penalty 1.3649E+02, cost 3.1817E+02, time   0.07s[K
[5b691437]   batch   143/40434, avg_loss 1.9398E+02, penalty 1.3649E+02, cost 3.3047E+02, time   0.07s[K
[5b691437]   batch   144/40434, avg_loss 1.7975E+02, penalty 1.3649E+02, cost 3.1623E+02, time   0.07s[K
[5b691437]   batch   145/40434, avg_loss 3.4393E+02, penalty 1.3649E+02, cost 4.8041E+02, time   0.07s[K
[5b691437]   batch   146/40434, avg_loss 3.4705E+02, penalty 1.3649E+02, cost 4.8354E+02, time   0.07s[K
[5b691437]   batch   147/40434, avg_loss 2.7890E+02, penalty 1.3649E+02, cost 4.1538E+02, time   0.07s[K
[5b691437]   batch   148/40434, avg_loss 4.0681E+02, penalty 1.3649E+02, cost 5.4330E+02, time   0.07s[K
[5b691437]   batch   149/40434, avg_loss 4.6634E+02, penalty 1.3649E+02, cost 6.0283E+02, time   0.07s[K
[5b691437]   batch   150/40434, avg_loss 4.4157E+02, penalty 1.3649E+02, cost 5.7806E+02, time   0.07s[K
[5b691437]   batch   151/40434, avg_loss 2.4376E+02, penalty 1.3649E+02, cost 3.8025E+02, time   0.07s[K
[5b691437]   batch   152/40434, avg_loss 3.3352E+02, penalty 1.3649E+02, cost 4.7001E+02, time   0.07s[K
[5b691437]   batch   153/40434, avg_loss 2.5258E+02, penalty 1.3649E+02, cost 3.8907E+02, time   0.07s[K
[5b691437]   batch   154/40434, avg_loss 2.0259E+02, penalty 1.3649E+02, cost 3.3907E+02, time   0.07s[K
[5b691437]   batch   155/40434, avg_loss 4.2195E+02, penalty 1.3649E+02, cost 5.5844E+02, time   0.07s[K
[5b691437]   batch   156/40434, avg_loss 3.8621E+02, penalty 1.3649E+02, cost 5.2269E+02, time   0.07s[K
[5b691437]   batch   157/40434, avg_loss 2.8724E+02, penalty 1.3649E+02, cost 4.2373E+02, time   0.07s[K
[5b691437]   batch   158/40434, avg_loss 2.3830E+02, penalty 1.3649E+02, cost 3.7478E+02, time   0.07s[K
[5b691437]   batch   159/40434, avg_loss 2.2712E+02, penalty 1.3649E+02, cost 3.6361E+02, time   0.07s[K
[5b691437]   batch   160/40434, avg_loss 5.3293E+02, penalty 1.3649E+02, cost 6.6941E+02, time   0.07s[K
[5b691437]   batch   161/40434, avg_loss 3.1024E+02, penalty 1.3649E+02, cost 4.4673E+02, time   0.07s[K
[5b691437]   batch   162/40434, avg_loss 3.9758E+02, penalty 1.3649E+02, cost 5.3407E+02, time   0.07s[K
[5b691437]   batch   163/40434, avg_loss 3.7625E+02, penalty 1.3649E+02, cost 5.1273E+02, time   0.07s[K
[5b691437]   batch   164/40434, avg_loss 3.1416E+02, penalty 1.3649E+02, cost 4.5064E+02, time   0.07s[K
[5b691437]   batch   165/40434, avg_loss 3.5555E+02, penalty 1.3649E+02, cost 4.9204E+02, time   0.07s[K
[5b691437]   batch   166/40434, avg_loss 2.5085E+02, penalty 1.3649E+02, cost 3.8733E+02, time   0.07s[K
[5b691437]   batch   167/40434, avg_loss 3.7572E+02, penalty 1.3649E+02, cost 5.1221E+02, time   0.07s[K
[5b691437]   batch   168/40434, avg_loss 3.8108E+02, penalty 1.3649E+02, cost 5.1756E+02, time   0.07s[K
[5b691437]   batch   169/40434, avg_loss 3.0209E+02, penalty 1.3649E+02, cost 4.3857E+02, time   0.07s[K
[5b691437]   batch   170/40434, avg_loss 4.3632E+02, penalty 1.3649E+02, cost 5.7280E+02, time   0.07s[K
[5b691437]   batch   171/40434, avg_loss 2.2622E+02, penalty 1.3649E+02, cost 3.6270E+02, time   0.07s[K
[5b691437]   batch   172/40434, avg_loss 2.1634E+02, penalty 1.3649E+02, cost 3.5283E+02, time   0.07s[K
[5b691437]   batch   173/40434, avg_loss 2.8010E+02, penalty 1.3649E+02, cost 4.1658E+02, time   0.07s[K
[5b691437]   batch   174/40434, avg_loss 4.6281E+02, penalty 1.3649E+02, cost 5.9930E+02, time   0.07s[K
[5b691437]   batch   175/40434, avg_loss 3.7763E+02, penalty 1.3649E+02, cost 5.1412E+02, time   0.07s[K
[5b691437]   batch   176/40434, avg_loss 3.7645E+02, penalty 1.3649E+02, cost 5.1293E+02, time   0.07s[K
[5b691437]   batch   177/40434, avg_loss 2.9431E+02, penalty 1.3649E+02, cost 4.3080E+02, time   0.07s[K
[5b691437]   batch   178/40434, avg_loss 2.3999E+02, penalty 1.3649E+02, cost 3.7648E+02, time   0.07s[K
[5b691437]   batch   179/40434, avg_loss 3.9284E+02, penalty 1.3649E+02, cost 5.2932E+02, time   0.07s[K
[5b691437]   batch   180/40434, avg_loss 3.0738E+02, penalty 1.3649E+02, cost 4.4386E+02, time   0.07s[K
[5b691437]   batch   181/40434, avg_loss 3.1534E+02, penalty 1.3649E+02, cost 4.5183E+02, time   0.07s[K
[5b691437]   batch   182/40434, avg_loss 2.6204E+02, penalty 1.3649E+02, cost 3.9852E+02, time   0.07s[K
[5b691437]   batch   183/40434, avg_loss 1.6921E+02, penalty 1.3649E+02, cost 3.0569E+02, time   0.07s[K
[5b691437]   batch   184/40434, avg_loss 3.6783E+02, penalty 1.3649E+02, cost 5.0432E+02, time   0.07s[K
[5b691437]   batch   185/40434, avg_loss 2.0538E+02, penalty 1.3649E+02, cost 3.4186E+02, time   0.07s[K
[5b691437]   batch   186/40434, avg_loss 2.5471E+02, penalty 1.3649E+02, cost 3.9120E+02, time   0.07s[K
[5b691437]   batch   187/40434, avg_loss 2.8341E+02, penalty 1.3649E+02, cost 4.1990E+02, time   0.07s[K
[5b691437]   batch   188/40434, avg_loss 2.3103E+02, penalty 1.3649E+02, cost 3.6752E+02, time   0.07s[K
[5b691437]   batch   189/40434, avg_loss 1.9549E+02, penalty 1.3649E+02, cost 3.3198E+02, time   0.07s[K
[5b691437]   batch   190/40434, avg_loss 4.5319E+02, penalty 1.3649E+02, cost 5.8968E+02, time   0.07s[K
[5b691437]   batch   191/40434, avg_loss 1.8957E+02, penalty 1.3649E+02, cost 3.2606E+02, time   0.07s[K
[5b691437]   batch   192/40434, avg_loss 3.8604E+02, penalty 1.3649E+02, cost 5.2253E+02, time   0.07s[K
[5b691437]   batch   193/40434, avg_loss 2.8027E+02, penalty 1.3649E+02, cost 4.1676E+02, time   0.07s[K
[5b691437]   batch   194/40434, avg_loss 3.4289E+02, penalty 1.3649E+02, cost 4.7937E+02, time   0.07s[K
[5b691437]   batch   195/40434, avg_loss 3.7772E+02, penalty 1.3649E+02, cost 5.1421E+02, time   0.07s[K
[5b691437]   batch   196/40434, avg_loss 4.6005E+02, penalty 1.3649E+02, cost 5.9654E+02, time   0.07s[K
[5b691437]   batch   197/40434, avg_loss 3.6964E+02, penalty 1.3649E+02, cost 5.0612E+02, time   0.07s[K
[5b691437]   batch   198/40434, avg_loss 3.0081E+02, penalty 1.3649E+02, cost 4.3730E+02, time   0.07s[K
[5b691437]   batch   199/40434, avg_loss 3.2948E+02, penalty 1.3649E+02, cost 4.6597E+02, time   0.07s[K
[5b691437]   batch   200/40434, avg_loss 2.9792E+02, penalty 1.3649E+02, cost 4.3441E+02, time   0.07s[K
[5b691437]   batch   201/40434, avg_loss 3.7816E+02, penalty 1.3649E+02, cost 5.1465E+02, time   0.07s[K
