[52d34630]   size: 5175638
[52d34630]   split: train
[52d34630]   timestamp: 1692578274.4507034
[52d34630]   type: 1vsAll
[52d34630] Finished epoch 123.
[52d34630] Saving checkpoint to /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154100-complex_non-naive/00058/checkpoint_00123.pt...
[52d34630] Removing old checkpoint /bp1/mrcieu1/users/fu19841/kge/local/experiments/20230810-154100-complex_non-naive/00058/checkpoint_00122.pt...
[52d34630] Starting epoch 124...

[52d34630]   batch   181/40434, avg_loss 1.2085E+01, penalty 1.1499E-12, cost 1.2085E+01, time   0.01s[K
[52d34630]   batch   182/40434, avg_loss 1.2689E+01, penalty 1.2778E-12, cost 1.2689E+01, time   0.01s[K
[52d34630]   batch   183/40434, avg_loss 1.2814E+01, penalty 1.5640E-12, cost 1.2814E+01, time   0.01s[K
[52d34630]   batch   184/40434, avg_loss 1.2494E+01, penalty 1.3094E-12, cost 1.2494E+01, time   0.01s[K
[52d34630]   batch   185/40434, avg_loss 1.2677E+01, penalty 1.2142E-12, cost 1.2677E+01, time   0.01s[K
[52d34630]   batch   186/40434, avg_loss 1.2416E+01, penalty 1.2771E-12, cost 1.2416E+01, time   0.01s[K
[52d34630]   batch   187/40434, avg_loss 1.2386E+01, penalty 1.2140E-12, cost 1.2386E+01, time   0.01s[K
[52d34630]   batch   188/40434, avg_loss 1.2790E+01, penalty 1.4031E-12, cost 1.2790E+01, time   0.01s[K
[52d34630]   batch   189/40434, avg_loss 1.2115E+01, penalty 1.2458E-12, cost 1.2115E+01, time   0.01s[K
[52d34630]   batch   190/40434, avg_loss 1.2353E+01, penalty 1.2158E-12, cost 1.2353E+01, time   0.01s[K
[52d34630]   batch   191/40434, avg_loss 1.2362E+01, penalty 1.2156E-12, cost 1.2362E+01, time   0.01s[K
[52d34630]   batch   192/40434, avg_loss 1.2447E+01, penalty 1.2144E-12, cost 1.2447E+01, time   0.01s[K
[52d34630]   batch   193/40434, avg_loss 1.2027E+01, penalty 1.1824E-12, cost 1.2027E+01, time   0.01s[K
[52d34630]   batch   194/40434, avg_loss 1.2603E+01, penalty 1.1186E-12, cost 1.2603E+01, time   0.01s[K
[52d34630]   batch   195/40434, avg_loss 1.2357E+01, penalty 1.1818E-12, cost 1.2357E+01, time   0.01s[K
[52d34630]   batch   196/40434, avg_loss 1.2337E+01, penalty 1.2148E-12, cost 1.2337E+01, time   0.01s[K
[52d34630]   batch   197/40434, avg_loss 1.2278E+01, penalty 1.0251E-12, cost 1.2278E+01, time   0.01s[K
[52d34630]   batch   198/40434, avg_loss 1.2772E+01, penalty 9.9238E-13, cost 1.2772E+01, time   0.01s[K
[52d34630]   batch   199/40434, avg_loss 1.2377E+01, penalty 1.3103E-12, cost 1.2377E+01, time   0.01s[K
[52d34630]   batch   200/40434, avg_loss 1.2558E+01, penalty 1.3403E-12, cost 1.2558E+01, time   0.01s[K
[52d34630]   batch   201/40434, avg_loss 1.2549E+01, penalty 1.3420E-12, cost 1.2549E+01, time   0.01s[K
[52d34630]   batch   202/40434, avg_loss 1.2296E+01, penalty 1.3080E-12, cost 1.2296E+01, time   0.01s[K
[52d34630]   batch   203/40434, avg_loss 1.1857E+01, penalty 8.9802E-13, cost 1.1857E+01, time   0.01s[K
[52d34630]   batch   204/40434, avg_loss 1.3249E+01, penalty 1.6569E-12, cost 1.3249E+01, time   0.01s[K
[52d34630]   batch   205/40434, avg_loss 1.2419E+01, penalty 1.1504E-12, cost 1.2419E+01, time   0.01s[K
[52d34630]   batch   206/40434, avg_loss 1.2484E+01, penalty 1.2153E-12, cost 1.2484E+01, time   0.01s[K
[52d34630]   batch   207/40434, avg_loss 1.2557E+01, penalty 1.4369E-12, cost 1.2557E+01, time   0.01s[K
[52d34630]   batch   208/40434, avg_loss 1.2378E+01, penalty 1.2455E-12, cost 1.2378E+01, time   0.01s[K
