[98972361]   size: 5175638
[98972361]   split: train
[98972361]   timestamp: 1693212599.0646005
[98972361]   type: 1vsAll
[98972361] Finished epoch 8.
[98972361] Saving checkpoint to kge/local/experiments/20230810-154100-simple_non-naive/00067/checkpoint_00008.pt...
[98972361] Removing old checkpoint kge/local/experiments/20230810-154100-simple_non-naive/00067/checkpoint_00007.pt...
[98972361] Starting epoch 9...

[98972361]   batch   155/40434, avg_loss 1.6096E+01, penalty 6.7269E-08, cost 1.6096E+01, time   0.01s[K
[98972361]   batch   156/40434, avg_loss 1.5837E+01, penalty 6.6040E-08, cost 1.5837E+01, time   0.01s[K
[98972361]   batch   157/40434, avg_loss 1.5448E+01, penalty 6.0380E-08, cost 1.5448E+01, time   0.01s[K
[98972361]   batch   158/40434, avg_loss 1.5919E+01, penalty 6.5114E-08, cost 1.5919E+01, time   0.01s[K
[98972361]   batch   159/40434, avg_loss 1.5498E+01, penalty 6.5615E-08, cost 1.5498E+01, time   0.01s[K
[98972361]   batch   160/40434, avg_loss 1.6036E+01, penalty 6.7576E-08, cost 1.6036E+01, time   0.01s[K
[98972361]   batch   161/40434, avg_loss 1.6660E+01, penalty 7.2290E-08, cost 1.6660E+01, time   0.01s[K
[98972361]   batch   162/40434, avg_loss 1.6337E+01, penalty 7.0534E-08, cost 1.6337E+01, time   0.01s[K
[98972361]   batch   163/40434, avg_loss 1.6117E+01, penalty 6.4464E-08, cost 1.6117E+01, time   0.01s[K
[98972361]   batch   164/40434, avg_loss 1.5611E+01, penalty 6.5542E-08, cost 1.5611E+01, time   0.01s[K
[98972361]   batch   165/40434, avg_loss 1.6123E+01, penalty 6.8080E-08, cost 1.6123E+01, time   0.01s[K
[98972361]   batch   166/40434, avg_loss 1.6383E+01, penalty 7.5169E-08, cost 1.6383E+01, time   0.01s[K
[98972361]   batch   167/40434, avg_loss 1.5753E+01, penalty 6.5877E-08, cost 1.5753E+01, time   0.01s[K
[98972361]   batch   168/40434, avg_loss 1.6685E+01, penalty 7.3536E-08, cost 1.6685E+01, time   0.01s[K
[98972361]   batch   169/40434, avg_loss 1.6259E+01, penalty 7.3216E-08, cost 1.6259E+01, time   0.01s[K
[98972361]   batch   170/40434, avg_loss 1.6309E+01, penalty 7.3145E-08, cost 1.6309E+01, time   0.01s[K
[98972361]   batch   171/40434, avg_loss 1.6346E+01, penalty 7.2682E-08, cost 1.6346E+01, time   0.01s[K
[98972361]   batch   172/40434, avg_loss 1.5986E+01, penalty 6.6510E-08, cost 1.5986E+01, time   0.01s[K
[98972361]   batch   173/40434, avg_loss 1.5691E+01, penalty 6.2651E-08, cost 1.5691E+01, time   0.01s[K
[98972361]   batch   174/40434, avg_loss 1.6198E+01, penalty 7.1641E-08, cost 1.6198E+01, time   0.01s[K
[98972361]   batch   175/40434, avg_loss 1.5855E+01, penalty 6.3932E-08, cost 1.5855E+01, time   0.01s[K
[98972361]   batch   176/40434, avg_loss 1.5966E+01, penalty 7.2197E-08, cost 1.5966E+01, time   0.01s[K
[98972361]   batch   177/40434, avg_loss 1.5672E+01, penalty 6.4298E-08, cost 1.5672E+01, time   0.01s[K
[98972361]   batch   178/40434, avg_loss 1.6312E+01, penalty 6.8684E-08, cost 1.6312E+01, time   0.01s[K
[98972361]   batch   179/40434, avg_loss 1.6158E+01, penalty 7.2886E-08, cost 1.6158E+01, time   0.01s[K
[98972361]   batch   180/40434, avg_loss 1.5635E+01, penalty 5.9793E-08, cost 1.5635E+01, time   0.01s[K
[98972361]   batch   181/40434, avg_loss 1.5920E+01, penalty 6.6377E-08, cost 1.5920E+01, time   0.01s[K
[98972361]   batch   182/40434, avg_loss 1.5789E+01, penalty 6.8833E-08, cost 1.5789E+01, time   0.01s[K
[98972361]   batch   183/40434, avg_loss 1.5663E+01, penalty 6.0643E-08, cost 1.5663E+01, time   0.01s[K
[98972361]   batch   184/40434, avg_loss 1.5625E+01, penalty 6.0170E-08, cost 1.5625E+01, time   0.01s[K
[98972361]   batch   185/40434, avg_loss 1.5467E+01, penalty 6.2726E-08, cost 1.5467E+01, time   0.01s[K
[98972361]   batch   186/40434, avg_loss 1.6413E+01, penalty 6.7671E-08, cost 1.6413E+01, time   0.01s[K
[98972361]   batch   187/40434, avg_loss 1.5952E+01, penalty 6.8093E-08, cost 1.5952E+01, time   0.01s[K
[98972361]   batch   188/40434, avg_loss 1.5832E+01, penalty 6.0863E-08, cost 1.5832E+01, time   0.01s[K
[98972361]   batch   189/40434, avg_loss 1.6350E+01, penalty 7.2069E-08, cost 1.6350E+01, time   0.01s[K
[98972361]   batch   190/40434, avg_loss 1.6639E+01, penalty 7.5785E-08, cost 1.6639E+01, time   0.01s[K
[98972361]   batch   191/40434, avg_loss 1.6076E+01, penalty 6.4311E-08, cost 1.6076E+01, time   0.01s[K
[98972361]   batch   192/40434, avg_loss 1.6457E+01, penalty 6.4774E-08, cost 1.6457E+01, time   0.01s[K
[98972361]   batch   193/40434, avg_loss 1.6068E+01, penalty 6.6872E-08, cost 1.6068E+01, time   0.01s[K
[98972361]   batch   194/40434, avg_loss 1.6031E+01, penalty 6.9908E-08, cost 1.6031E+01, time   0.01s[K
[98972361]   batch   195/40434, avg_loss 1.5920E+01, penalty 6.7947E-08, cost 1.5920E+01, time   0.01s[K
[98972361]   batch   196/40434, avg_loss 1.5558E+01, penalty 6.0890E-08, cost 1.5558E+01, time   0.01s[K
[98972361]   batch   197/40434, avg_loss 1.5744E+01, penalty 6.6292E-08, cost 1.5744E+01, time   0.01s[K
[98972361]   batch   198/40434, avg_loss 1.5636E+01, penalty 6.1581E-08, cost 1.5636E+01, time   0.01s[K
[98972361]   batch   199/40434, avg_loss 1.6031E+01, penalty 6.8476E-08, cost 1.6031E+01, time   0.01s[K
[98972361]   batch   200/40434, avg_loss 1.6088E+01, penalty 6.5624E-08, cost 1.6088E+01, time   0.01s[K
[98972361]   batch   201/40434, avg_loss 1.6059E+01, penalty 6.4722E-08, cost 1.6059E+01, time   0.01s[K
[98972361]   batch   202/40434, avg_loss 1.6143E+01, penalty 6.8742E-08, cost 1.6143E+01, time   0.01s[K
[98972361]   batch   203/40434, avg_loss 1.5922E+01, penalty 6.6680E-08, cost 1.5922E+01, time   0.01s[K
[98972361]   batch   204/40434, avg_loss 1.6230E+01, penalty 6.8670E-08, cost 1.6230E+01, time   0.01s[K
[98972361]   batch   205/40434, avg_loss 1.5810E+01, penalty 6.6770E-08, cost 1.5810E+01, time   0.01s[K
[98972361]   batch   206/40434, avg_loss 1.6141E+01, penalty 7.4467E-08, cost 1.6141E+01, time   0.01s[K
[98972361]   batch   207/40434, avg_loss 1.5970E+01, penalty 6.8114E-08, cost 1.5970E+01, time   0.01s[K
[98972361]   batch   208/40434, avg_loss 1.5909E+01, penalty 6.3886E-08, cost 1.5909E+01, time   0.01s[K
[98972361]   batch   209/40434, avg_loss 1.5729E+01, penalty 6.3976E-08, cost 1.5729E+01, time   0.01s[K
[98972361]   batch   210/40434, avg_loss 1.5820E+01, penalty 7.1965E-08, cost 1.5820E+01, time   0.01s[K
[98972361]   batch   211/40434, avg_loss 1.5872E+01, penalty 6.5568E-08, cost 1.5872E+01, time   0.01s[K
[98972361]   batch   212/40434, avg_loss 1.5846E+01, penalty 6.1573E-08, cost 1.5846E+01, time   0.01s[K
[98972361]   batch   213/40434, avg_loss 1.5862E+01, penalty 6.3596E-08, cost 1.5862E+01, time   0.01s[K
[98972361]   batch   214/40434, avg_loss 1.6254E+01, penalty 6.7749E-08, cost 1.6254E+01, time   0.01s[K
[98972361]   batch   215/40434, avg_loss 1.6115E+01, penalty 6.8656E-08, cost 1.6115E+01, time   0.01s[K
